,in,out,1,2,3,4,1_op,2_op,3_op,4_op
141,"[1, 9, 6, 7]","[32, 36, 41, 10, 11, 14, 15, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 10, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.28125,0.0
142,"[1, 10, 11, 6]","[14, 15, 17, 19, 22, 25, 27]",set(),set(),"{13, 15, 17, 21, 23, 25}",set(),0.0,0.0,0.1875,0.0
143,"[1, 10, 11, 6]","[32, 36, 41, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.21875,0.0
144,"[1, 10, 11, 6]","[32, 36, 41, 14, 15, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.25,0.0
145,"[1, 15, 6, 14]","[17, 19, 22, 25, 27]",set(),set(),"{15, 17, 21, 23, 25}",set(),0.0,0.0,0.15625,0.0
146,"[1, 15, 6, 14]","[32, 36, 41, 17, 19, 22, 25, 27]",set(),set(),"{15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.1875,0.0
147,"[1, 15, 6, 14]","[32, 36, 41, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.21875,0.0
148,"[17, 6]","[27, 25, 19, 22]",set(),set(),"{17, 21, 25, 23}",set(),0.0,0.0,0.125,0.0
149,"[17, 6]","[32, 36, 41, 19, 22, 25, 27]",set(),set(),"{17, 21, 23, 25, 29}",set(),0.0,0.0,0.15625,0.0
150,"[17, 6]","[32, 36, 41, 46, 19, 22, 25, 27]",set(),set(),"{32, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.1875,0.0
151,"[1, 25]","[27, 6]",set(),set(),"{25, 19}",set(),0.0,0.0,0.0625,0.0
152,"[1, 19, 25]","[32, 36, 6, 41, 27]",set(),set(),"{25, 19, 29}",set(),0.0,0.0,0.09375,0.0
153,"[1, 19, 25]","[32, 36, 6, 41, 46, 27]",set(),set(),"{32, 25, 19, 29}",set(),0.0,0.0,0.125,0.0
154,"[19, 6]","[25, 27, 22]",set(),set(),"{25, 21, 23}",set(),0.0,0.0,0.09375,0.0
155,"[19, 6]","[32, 36, 41, 22, 25, 27]",set(),set(),"{25, 29, 21, 23}",set(),0.0,0.0,0.125,0.0
156,"[19, 6]","[32, 36, 41, 46, 22, 25, 27]",set(),set(),"{32, 21, 23, 25, 29}",set(),0.0,0.0,0.15625,0.0
157,"[6, 22]","[25, 27]",set(),set(),"{25, 23}",set(),0.0,0.0,0.0625,0.0
158,"[19, 6, 22]","[32, 36, 41, 25, 27]",set(),set(),"{25, 29, 23}",set(),0.0,0.0,0.09375,0.0
159,"[19, 6, 22]","[32, 36, 41, 46, 25, 27]",set(),set(),"{32, 25, 29, 23}",set(),0.0,0.0,0.125,0.0
160,"[25, 6]",[27],set(),set(),{25},set(),0.0,0.0,0.03125,0.0
161,"[25, 19, 6]","[32, 41, 27, 36]",set(),set(),"{25, 29}",set(),0.0,0.0,0.0625,0.0
162,"[25, 19, 6]","[32, 36, 41, 46, 27]",set(),set(),"{32, 25, 29}",set(),0.0,0.0,0.09375,0.0
163,"[27, 19, 6]","[32, 41, 36]",set(),set(),{29},set(),0.0,0.0,0.03125,0.0
164,"[27, 19, 6]","[32, 41, 36, 46]",set(),set(),"{32, 29}",set(),0.0,0.0,0.0625,0.0
